Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Latvia,2020,1399.0,1504.0,1377.0,1392.0,1406.0,1333.0,1436.8,56.4,1.96,49.4,1387.3999999999999,1486.2,-37.8,49.4,-2.6,3.3,1436.8 (±49.4),-37.8 (±49.4),-2.6% (±3.3%),67059,-56.4,73.7,-56.4(±73.7)
Female,Latvia,2020,1399.0,1504.0,1377.0,1392.0,1406.0,1333.0,1436.8,56.4,1.96,49.4,1387.3999999999999,1486.2,-37.8,49.4,-2.6,3.3,1436.8 (±49.4),-37.8 (±49.4),-2.6% (±3.3%),75104,-50.3,65.7,-50.3(±65.7)
Female,Latvia,2020,1399.0,1504.0,1377.0,1392.0,1406.0,1333.0,1436.8,56.4,1.96,49.4,1387.3999999999999,1486.2,-37.8,49.4,-2.6,3.3,1436.8 (±49.4),-37.8 (±49.4),-2.6% (±3.3%),74399,-50.8,66.4,-50.8(±66.4)
Female,Liechtenstein,2020,12.0,15.0,10.0,14.0,7.0,12.0,12.399999999999997,2.9,1.96,2.5,9.899999999999997,14.899999999999997,-0.4,2.5,-3.2,16.3,12.4 (±2.5),-0.4 (±2.5),-3.2% (±16.3%),1288,-31.1,194.1,-31.1(±194.1)
Female,Liechtenstein,2020,12.0,15.0,10.0,14.0,7.0,12.0,12.399999999999997,2.9,1.96,2.5,9.899999999999997,14.899999999999997,-0.4,2.5,-3.2,16.3,12.4 (±2.5),-0.4 (±2.5),-3.2% (±16.3%),1468,-27.2,170.3,-27.2(±170.3)
Female,Liechtenstein,2020,12.0,15.0,10.0,14.0,7.0,12.0,12.399999999999997,2.9,1.96,2.5,9.899999999999997,14.899999999999997,-0.4,2.5,-3.2,16.3,12.4 (±2.5),-0.4 (±2.5),-3.2% (±16.3%),1646,-24.3,151.9,-24.3(±151.9)
Female,Liechtenstein,2020,12.0,15.0,10.0,14.0,7.0,12.0,12.399999999999997,2.9,1.96,2.5,9.899999999999997,14.899999999999997,-0.4,2.5,-3.2,16.3,12.4 (±2.5),-0.4 (±2.5),-3.2% (±16.3%),1608,-24.9,155.5,-24.9(±155.5)
Female,Liechtenstein,2020,12.0,15.0,10.0,14.0,7.0,12.0,12.399999999999997,2.9,1.96,2.5,9.899999999999997,14.899999999999997,-0.4,2.5,-3.2,16.3,12.4 (±2.5),-0.4 (±2.5),-3.2% (±16.3%),1339,-29.9,186.7,-29.9(±186.7)
Female,Lithuania,2020,2128.0,2099.0,1955.0,1842.0,1841.0,1782.0,1940.6,112.5,1.96,98.6,1842.0,2039.1999999999998,187.4,98.6,9.7,5.3,1940.6 (±98.6),187.4 (±98.6),9.7% (±5.3%),86272,217.2,114.3,217.2(±114.3)
Female,Lithuania,2020,2128.0,2099.0,1955.0,1842.0,1841.0,1782.0,1940.6,112.5,1.96,98.6,1842.0,2039.1999999999998,187.4,98.6,9.7,5.3,1940.6 (±98.6),187.4 (±98.6),9.7% (±5.3%),99577,188.2,99.0,188.2(±99.0)
Female,Lithuania,2020,2128.0,2099.0,1955.0,1842.0,1841.0,1782.0,1940.6,112.5,1.96,98.6,1842.0,2039.1999999999998,187.4,98.6,9.7,5.3,1940.6 (±98.6),187.4 (±98.6),9.7% (±5.3%),105295,178.0,93.6,178.0(±93.6)
