Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Dobrich,2020,38,2,3.0,0.0,2.0,6.0,2.0,2.6,2.0,1.96,1.8,0.8,4.4,-0.6,1.8,-23.1,31.4,2.6 (±1.8),-0.6 (±1.8),-23.1% (±31.4%)
Female,Dobrich,2020,39,3,1.0,4.0,4.0,2.0,0.0,2.2,1.6,1.96,1.4,0.8000000000000003,3.6,0.8,1.4,36.4,53.1,2.2 (±1.4),0.8 (±1.4),36.4% (±53.1%)
Female,Dobrich,2020,40,2,1.0,2.0,0.0,3.0,3.0,1.8,1.2,1.96,1.1,0.7,2.9000000000000004,0.2,1.1,11.1,42.1,1.8 (±1.1),0.2 (±1.1),11.1% (±42.1%)
Female,Dobrich,2020,41,2,3.0,3.0,4.0,4.0,2.0,3.2,0.7,1.96,0.6,2.6,3.8000000000000003,-1.2,0.6,-37.5,9.9,3.2 (±0.6),-1.2 (±0.6),-37.5% (±9.9%)
Female,Dobrich,2020,42,2,4.0,1.0,2.0,4.0,1.0,2.4,1.4,1.96,1.2,1.2,3.5999999999999996,-0.4,1.2,-16.7,27.7,2.4 (±1.2),-0.4 (±1.2),-16.7% (±27.7%)
Female,Dobrich,2020,43,1,1.0,3.0,3.0,0.0,1.0,1.6,1.2,1.96,1.1,0.5,2.7,-0.6,1.1,-37.5,25.5,1.6 (±1.1),-0.6 (±1.1),-37.5% (±25.5%)
Female,Dobrich,2020,44,3,2.0,4.0,1.0,1.0,1.0,1.8,1.2,1.96,1.1,0.7,2.9000000000000004,1.2,1.1,66.7,63.3,1.8 (±1.1),1.2 (±1.1),66.7% (±63.3%)
Female,Dobrich,2020,45,4,0.0,2.0,3.0,0.0,2.0,1.4,1.2,1.96,1.1,0.2999999999999998,2.5,2.6,1.1,185.7,125.7,1.4 (±1.1),2.6 (±1.1),185.7% (±125.7%)
Female,Dobrich,2020,46,1,3.0,0.0,2.0,2.0,2.0,1.8,1.0,1.96,0.9,0.9,2.7,-0.8,0.9,-44.4,18.6,1.8 (±0.9),-0.8 (±0.9),-44.4% (±18.6%)
Female,Dobrich,2020,47,4,3.0,1.0,5.0,5.0,1.0,3.0,1.8,1.96,1.6,1.4,4.6,1.0,1.6,33.3,46.3,3.0 (±1.6),1.0 (±1.6),33.3% (±46.3%)
Female,Dobrich,2020,48,5,1.0,5.0,1.0,3.0,5.0,3.0,1.8,1.96,1.6,1.4,4.6,2.0,1.6,66.7,58.0,3.0 (±1.6),2.0 (±1.6),66.7% (±58.0%)
Female,Dobrich,2020,49,5,6.0,3.0,2.0,2.0,1.0,2.8,1.7,1.96,1.5,1.2999999999999998,4.3,2.2,1.5,78.6,62.3,2.8 (±1.5),2.2 (±1.5),78.6% (±62.3%)
Female,Dobrich,2020,50,4,5.0,3.0,3.0,3.0,2.0,3.2,1.0,1.96,0.9,2.3000000000000003,4.1000000000000005,0.8,0.9,25.0,27.4,3.2 (±0.9),0.8 (±0.9),25.0% (±27.4%)
Female,Dobrich,2020,51,7,0.0,5.0,5.0,2.0,1.0,2.6,2.1,1.96,1.8,0.8,4.4,4.4,1.8,169.2,110.1,2.6 (±1.8),4.4 (±1.8),169.2% (±110.1%)
Female,Dobrich,2020,52,4,6.0,5.0,3.0,2.0,4.0,4.0,1.4,1.96,1.2,2.8,5.2,0.0,1.2,0.0,23.1,4.0 (±1.2),0.0 (±1.2),0.0% (±23.1%)
Female,Dobrich,2020,53,3,0.0,5.0,3.0,2.0,4.0,0.0,1.7,1.96,1.5,-1.5,1.5,3.0,1.5,0.0,-100.0,0.0 (±1.5),3.0 (±1.5),0.0% (±-100.0%)
Female,Gabrovo,2020,10,0,1.0,2.0,2.0,2.0,1.0,1.6,0.5,1.96,0.4,1.2000000000000002,2.0,-1.6,0.4,-100.0,0.0,1.6 (±0.4),-1.6 (±0.4),-100.0% (±0.0%)
Female,Gabrovo,2020,11,2,2.0,3.0,2.0,0.0,1.0,1.6,1.0,1.96,0.9,0.7000000000000001,2.5,0.4,0.9,25.0,45.0,1.6 (±0.9),0.4 (±0.9),25.0% (±45.0%)
Female,Gabrovo,2020,12,1,3.0,2.0,4.0,1.0,4.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-1.8,1.1,-64.3,10.1,2.8 (±1.1),-1.8 (±1.1),-64.3% (±10.1%)
Female,Gabrovo,2020,13,1,3.0,2.0,1.0,0.0,3.0,1.8,1.2,1.96,1.1,0.7,2.9000000000000004,-0.8,1.1,-44.4,21.1,1.8 (±1.1),-0.8 (±1.1),-44.4% (±21.1%)
Female,Gabrovo,2020,14,0,3.0,0.0,2.0,1.0,1.0,1.4,1.0,1.96,0.9,0.4999999999999999,2.3,-1.4,0.9,-100.0,0.0,1.4 (±0.9),-1.4 (±0.9),-100.0% (±0.0%)
Female,Gabrovo,2020,15,1,2.0,0.0,1.0,0.0,0.0,0.6,0.8,1.96,0.7,-0.09999999999999998,1.2999999999999998,0.4,0.7,66.7,89.8,0.6 (±0.7),0.4 (±0.7),66.7% (±89.8%)
Female,Gabrovo,2020,16,2,1.0,2.0,2.0,2.0,1.0,1.6,0.5,1.96,0.4,1.2000000000000002,2.0,0.4,0.4,25.0,25.0,1.6 (±0.4),0.4 (±0.4),25.0% (±25.0%)
Female,Gabrovo,2020,17,2,0.0,2.0,0.0,3.0,1.0,1.2,1.2,1.96,1.1,0.09999999999999987,2.3,0.8,1.1,66.7,79.7,1.2 (±1.1),0.8 (±1.1),66.7% (±79.7%)
