Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
(45-49),Female,Ruse,2020,22,176.0,166.0,160.0,179.0,159.0,171.2,8.2,1.96,7.2,164.0,178.39999999999998,-149.2,7.2,-87.1,0.6,171.2 (±7.2),-149.2 (±7.2),-87.1% (±0.6%)
(50-54),Female,Ruse,2020,28,176.0,166.0,160.0,179.0,159.0,171.2,8.2,1.96,7.2,164.0,178.39999999999998,-143.2,7.2,-83.6,0.7,171.2 (±7.2),-143.2 (±7.2),-83.6% (±0.7%)
(55-59),Female,Ruse,2020,49,176.0,166.0,160.0,179.0,159.0,171.2,8.2,1.96,7.2,164.0,178.39999999999998,-122.2,7.2,-71.4,1.1,171.2 (±7.2),-122.2 (±7.2),-71.4% (±1.1%)
(60-64),Female,Ruse,2020,76,176.0,166.0,160.0,179.0,159.0,171.2,8.2,1.96,7.2,164.0,178.39999999999998,-95.2,7.2,-55.6,1.8,171.2 (±7.2),-95.2 (±7.2),-55.6% (±1.8%)
(40-44),Female,Severen tsentralen,2020,41,630.0,596.0,650.0,606.0,549.0,618.1999999999999,34.2,1.96,30.0,588.1999999999999,648.1999999999999,-577.2,30.0,-93.4,0.3,618.2 (±30.0),-577.2 (±30.0),-93.4% (±0.3%)
(45-49),Female,Severen tsentralen,2020,68,630.0,596.0,650.0,606.0,549.0,618.1999999999999,34.2,1.96,30.0,588.1999999999999,648.1999999999999,-550.2,30.0,-89.0,0.5,618.2 (±30.0),-550.2 (±30.0),-89.0% (±0.5%)
(50-54),Female,Severen tsentralen,2020,113,630.0,596.0,650.0,606.0,549.0,618.1999999999999,34.2,1.96,30.0,588.1999999999999,648.1999999999999,-505.2,30.0,-81.7,0.9,618.2 (±30.0),-505.2 (±30.0),-81.7% (±0.9%)
(55-59),Female,Severen tsentralen,2020,179,630.0,596.0,650.0,606.0,549.0,618.1999999999999,34.2,1.96,30.0,588.1999999999999,648.1999999999999,-439.2,30.0,-71.0,1.4,618.2 (±30.0),-439.2 (±30.0),-71.0% (±1.4%)
(60-64),Female,Severen tsentralen,2020,325,630.0,596.0,650.0,606.0,549.0,618.1999999999999,34.2,1.96,30.0,588.1999999999999,648.1999999999999,-293.2,30.0,-47.4,2.5,618.2 (±30.0),-293.2 (±30.0),-47.4% (±2.5%)
(40-44),Female,Severna i yugoiztochna Bulgaria,2020,222,2844.0,2735.0,2787.0,2692.0,2499.0,2762.600000000001,117.8,1.96,103.3,2659.3000000000006,2865.900000000001,-2540.6,103.3,-92.0,0.3,2762.6 (±103.3),-2540.6 (±103.3),-92.0% (±0.3%)
