Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(55-59),Female,Sofia,1,2020,10,10.0,3.0,7.0,7.0,4.0,6.2,2.5,1.96,2.2,4.0,8.4,-5.2,2.2
(60-64),Female,Sofia,2,2020,10,10.0,3.0,7.0,7.0,4.0,6.2,2.5,1.96,2.2,4.0,8.4,-4.2,2.2
(40-44),Female,Blagoevgrad,1,2020,10,9.0,6.0,5.0,5.0,3.0,5.6,2.0,1.96,1.8,3.8,7.3999999999999995,-4.6,1.8
(45-49),Female,Blagoevgrad,0,2020,10,9.0,6.0,5.0,5.0,3.0,5.6,2.0,1.96,1.8,3.8,7.3999999999999995,-5.6,1.8
(50-54),Female,Blagoevgrad,0,2020,10,9.0,6.0,5.0,5.0,3.0,5.6,2.0,1.96,1.8,3.8,7.3999999999999995,-5.6,1.8
(55-59),Female,Blagoevgrad,0,2020,10,9.0,6.0,5.0,5.0,3.0,5.6,2.0,1.96,1.8,3.8,7.3999999999999995,-5.6,1.8
(60-64),Female,Blagoevgrad,3,2020,10,9.0,6.0,5.0,5.0,3.0,5.6,2.0,1.96,1.8,3.8,7.3999999999999995,-2.6,1.8
(40-44),Female,Pernik,0,2020,10,8.0,1.0,0.0,0.0,5.0,2.8,3.2,1.96,2.8,0.0,5.6,-2.8,2.8
(45-49),Female,Pernik,0,2020,10,8.0,1.0,0.0,0.0,5.0,2.8,3.2,1.96,2.8,0.0,5.6,-2.8,2.8
(50-54),Female,Pernik,0,2020,10,8.0,1.0,0.0,0.0,5.0,2.8,3.2,1.96,2.8,0.0,5.6,-2.8,2.8
(55-59),Female,Pernik,0,2020,10,8.0,1.0,0.0,0.0,5.0,2.8,3.2,1.96,2.8,0.0,5.6,-2.8,2.8
(60-64),Female,Pernik,1,2020,10,8.0,1.0,0.0,0.0,5.0,2.8,3.2,1.96,2.8,0.0,5.6,-1.8,2.8
(40-44),Female,Kyustendil,0,2020,10,6.0,2.0,1.0,1.0,4.0,2.8,1.9,1.96,1.7,1.0999999999999999,4.5,-2.8,1.7
(45-49),Female,Kyustendil,1,2020,10,6.0,2.0,1.0,1.0,4.0,2.8,1.9,1.96,1.7,1.0999999999999999,4.5,-1.8,1.7
(50-54),Female,Kyustendil,1,2020,10,6.0,2.0,1.0,1.0,4.0,2.8,1.9,1.96,1.7,1.0999999999999999,4.5,-1.8,1.7
(55-59),Female,Kyustendil,0,2020,10,6.0,2.0,1.0,1.0,4.0,2.8,1.9,1.96,1.7,1.0999999999999999,4.5,-2.8,1.7
(60-64),Female,Kyustendil,0,2020,10,6.0,2.0,1.0,1.0,4.0,2.8,1.9,1.96,1.7,1.0999999999999999,4.5,-2.8,1.7
(40-44),Female,Yuzhen tsentralen,7,2020,10,27.0,18.0,24.0,19.0,17.0,21.0,3.8,1.96,3.3,17.7,24.3,-14.0,3.3
(45-49),Female,Yuzhen tsentralen,2,2020,10,27.0,18.0,24.0,19.0,17.0,21.0,3.8,1.96,3.3,17.7,24.3,-19.0,3.3
(50-54),Female,Yuzhen tsentralen,2,2020,10,27.0,18.0,24.0,19.0,17.0,21.0,3.8,1.96,3.3,17.7,24.3,-19.0,3.3
(55-59),Female,Yuzhen tsentralen,4,2020,10,27.0,18.0,24.0,19.0,17.0,21.0,3.8,1.96,3.3,17.7,24.3,-17.0,3.3
(60-64),Female,Yuzhen tsentralen,7,2020,10,27.0,18.0,24.0,19.0,17.0,21.0,3.8,1.96,3.3,17.7,24.3,-14.0,3.3
(40-44),Female,Plovdiv,2,2020,10,12.0,6.0,13.0,11.0,7.0,9.8,2.8,1.96,2.5,7.300000000000001,12.3,-7.8,2.5
(45-49),Female,Plovdiv,2,2020,10,12.0,6.0,13.0,11.0,7.0,9.8,2.8,1.96,2.5,7.300000000000001,12.3,-7.8,2.5
(50-54),Female,Plovdiv,1,2020,10,12.0,6.0,13.0,11.0,7.0,9.8,2.8,1.96,2.5,7.300000000000001,12.3,-8.8,2.5
(55-59),Female,Plovdiv,2,2020,10,12.0,6.0,13.0,11.0,7.0,9.8,2.8,1.96,2.5,7.300000000000001,12.3,-7.8,2.5
(60-64),Female,Plovdiv,3,2020,10,12.0,6.0,13.0,11.0,7.0,9.8,2.8,1.96,2.5,7.300000000000001,12.3,-6.8,2.5
(40-44),Female,Haskovo,1,2020,10,5.0,4.0,2.0,1.0,5.0,3.4,1.6,1.96,1.4,2.0,4.8,-2.4,1.4
(45-49),Female,Haskovo,0,2020,10,5.0,4.0,2.0,1.0,5.0,3.4,1.6,1.96,1.4,2.0,4.8,-3.4,1.4
(50-54),Female,Haskovo,0,2020,10,5.0,4.0,2.0,1.0,5.0,3.4,1.6,1.96,1.4,2.0,4.8,-3.4,1.4
(55-59),Female,Haskovo,2,2020,10,5.0,4.0,2.0,1.0,5.0,3.4,1.6,1.96,1.4,2.0,4.8,-1.4,1.4
(60-64),Female,Haskovo,2,2020,10,5.0,4.0,2.0,1.0,5.0,3.4,1.6,1.96,1.4,2.0,4.8,-1.4,1.4
(40-44),Female,Pazardzhik,3,2020,10,3.0,2.0,6.0,4.0,3.0,3.6,1.4,1.96,1.2,2.4000000000000004,4.8,-0.6,1.2
